          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.98745278937607683       -5.7351280103875801E-002  -6.8392409156839640E-002 -0.36259279587048299     
           2  0.98745278930831493       -5.7351279516526465E-002  -6.8392409799482079E-002 -0.36259279219022905     
           3  0.98745278906089184        5.7351279670601440E-002  -6.8392411303811573E-002  0.36259279325280525     
           4  0.98745278941847514        5.7351279782012154E-002  -6.8392409007308363E-002  0.36259279382458914     
           5  0.98597086795039490       -4.2612328818902645E-002  -8.2471348933989899E-002 -0.26994856496425151     
           6  0.98597086941084933       -4.2612332550183964E-002  -8.2471338673215544E-002 -0.26994858817312462     
           7  0.99347082802590303       -2.5985367286876504E-002  -3.8803907789968284E-002 -0.16343864280433371     
           8  0.99347082824154009       -2.5985368158038008E-002  -3.8803906291054735E-002 -0.16343864824567070     
           9   1.0013073743544145        1.1327671239254394E-009   8.1657530293778417E-003   7.0705506679191705E-009
          10   1.0006649406089916       -3.6183721042864045E-008   4.1544977121058578E-003  -2.2599798128259525E-007
          11   1.0008256870442243       -1.0926278032744698E-009   5.1584147012532292E-003  -6.8232898684220938E-009
          12  0.99982606345664848        4.6044565728630020E-008  -1.0871979504079911E-003   2.8782859971564967E-007
          13  0.99347082787160845        2.5985367344069088E-002  -3.8803908750578701E-002  0.16343864318926241     
          14  0.99347082809629772        2.5985367772680731E-002  -3.8803907267528498E-002  0.16343864584689974     
          15  0.98597086969641479        4.2612332820928578E-002  -8.2471336792376157E-002  0.26994858980806830     
          16  0.98597086915063537        4.2612329538124903E-002  -8.2471341143263557E-002  0.26994856918664617     
          17  0.99786931756077080       -9.9958769898952587E-009  -1.3330972328218973E-002  -6.2607628160729228E-008
          18  0.99736216389766652        4.9991789166289481E-011  -1.6508258264333671E-002   3.1327505052755119E-010
          19  0.99228396690621201        1.7744317212416538E-002  -4.7413081087038011E-002  0.11175244915606665     
          20  0.99228396700215626        1.7744313439031018E-002  -4.7413080907789548E-002  0.11175242538581445     
          21  0.99228396649301764       -1.7744316622698545E-002  -4.7413083755152609E-002 -0.11175244548938079     
          22  0.99228396537494756       -1.7744314505752579E-002  -4.7413091033540550E-002 -0.11175243228573876     
          23  0.99506459814691151       -9.8554943550154493E-011  -3.0922632313877620E-002  -6.1902352705097839E-010
          24  0.99392287993135620       -1.9349298985171712E-009  -3.8097880735103770E-002  -1.2167253727540236E-008
          25  0.98775791364491394        1.5593005653719905E-002  -7.6206565098729750E-002   9.8655945584965377E-002
          26  0.98775796071016331        1.5592991730088655E-002  -7.6206268759829388E-002   9.8655852805647745E-002
          27  0.99021886519816560        2.4138466063532861E-010  -6.1433027059043063E-002   1.5235562379119966E-009
          28  0.98951832517575378        1.8083446212023790E-010  -6.5856215494464326E-002   1.1421874254332209E-009
          29  0.98775791981862382       -1.5593008865424999E-002  -7.6206525723824289E-002  -9.8655965285322458E-002
          30  0.98775808301605472       -1.5593228239752538E-002  -7.6205471448428402E-002  -9.8657336724585848E-002
