          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.97122893317205039      -0.11948171536739371      -0.10841327089842254      -0.61203065759807174     
           2  0.97122893355338347      -0.11948171841542447      -0.10841326706292163      -0.61203067281784240     
           3  0.97122893485200701       0.11948171844275912      -0.10841326046007323       0.61203067214627416     
           4  0.97122892978606912       0.11948171467277256      -0.10841328850333590       0.61203065618785790     
           5  0.97390727038788949       -8.5773603037879884E-002 -0.11287921265687470      -0.43922486875578898     
           6  0.97390728518366365       -8.5773603804718906E-002 -0.11287913693657931      -0.43922486602389904     
           7  0.97390727992760984        8.5773607339858615E-002 -0.11287916212711578       0.43922488639173285     
           8  0.97390728730095033        8.5773613793983239E-002 -0.11287912166823980       0.43922491596366414     
           9  0.99956386966774669       -5.5489482800844395E-011  -2.1811273237389360E-003  -2.7756847003328064E-010
          10  0.99949159552189304       -2.8987185041572204E-009  -2.5426687974182561E-003  -1.4500964876266066E-008
          11  0.99801478885069073        4.1811207450846716E-011  -9.9359214639986142E-003   2.0947188317217378E-010
          12  0.99771579361119722        5.1898990309923405E-009  -1.1434095838626274E-002   2.6008904861612360E-008
          13  0.99473533690995741       -3.3991766160789975E-010  -2.6392851306453316E-002  -1.7085834241287681E-009
          14  0.99464337353859700        7.4391590421171302E-012  -2.6855123125001063E-002   3.7396112214829202E-011
          15  0.99035781808001477       -9.8843240129405004E-010  -4.8444843752016756E-002  -4.9902791862152535E-009
          16  0.99065008052187564       -6.2666540101826027E-012  -4.6969521800056986E-002  -3.1628998641383654E-011
          17  0.98497983780676979        5.1072654427329130E-010  -7.5670536256257762E-002   2.5925735972957243E-009
          18  0.98487494135755838        6.7328134668685282E-011  -7.6203044796583061E-002   3.4181057838612340E-010
          19  0.97821487831421128       -1.5132330170634137E-008 -0.11012960551370105       -7.7346657192089322E-008
          20  0.97850282887859796        6.8944042788601159E-009 -0.10865800557158009        3.5229352820376460E-008
