          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.93407335833714844       0.25309197153903373      -0.20485587283016188        1.6537615979620917     
           2  0.93407335833715166       0.25309197153903712      -0.20485587283013540        1.6537615979621074     
           3  0.94338450328508572       0.20616599265838775      -0.21846540393927813        1.3447250591383759     
           4  0.94338450970849552       0.20616599348636225      -0.21846536217930823        1.3447250554976067     
           5  0.93407335833716332      -0.25309197153904234      -0.20485587283005433       -1.6537615979621203     
           6  0.93407335833715177      -0.25309197153903779      -0.20485587283013396       -1.6537615979621112     
           7  0.94338451341683505      -0.20616599197235810      -0.21846534082323260       -1.3447250408000764     
           8  0.97220073303555798       0.12226170817749045      -0.12717100232342268       0.78188092325592573     
           9  0.97220073303558396       0.12226170817749447      -0.12717100232325557       0.78188092325593050     
          10  0.97532737767635302        9.0216413561661435E-002 -0.12951434192575420       0.57647585530197398     
          11  0.97532737648269341        9.0216412157013329E-002 -0.12951435033548878       0.57647584707873045     
          12  0.97220073303558263      -0.12226170817749456      -0.12717100232326406      -0.78188092325593206     
          13  0.97220073303557109      -0.12226170817749289      -0.12717100232333842      -0.78188092325593084     
          14  0.97532737656515023       -9.0216410518779822E-002 -0.12951435077438939      -0.57647583662135615     
          15  0.97532737690683402       -9.0216417046273964E-002 -0.12951434476713039      -0.57647587789455934     
          16  0.99950664154571423       -1.6029982181124603E-015  -3.0842512225689829E-003  -1.0023684132512742E-014
          17  0.99950664154559821        1.0450888487643078E-015  -3.0842512232944551E-003   6.5350294167894617E-015
          18  0.99802802640866783        1.5459334374340937E-015  -1.2337003069785663E-002   9.6811750054068126E-015
          19  0.99802802640858412        3.7847788224578935E-016  -1.2337003070309889E-002   2.3701606582616883E-015
          20  0.99556852806543983        7.7715651327849382E-016  -2.7758250071254219E-002   4.8788486890289842E-015
          21  0.99556852806534879       -1.0047307537754417E-015  -2.7758250071825738E-002  -6.3075188036521805E-015
          22  0.99213541168518937       -3.0125362051955008E-015  -4.9347983113374745E-002  -1.8977602311856833E-014
          23  0.99213541168510266       -1.2528353215938478E-015  -4.9347983113920975E-002  -7.8922903746195579E-015
          24  0.98773879836641010       -4.8841949300228968E-017  -7.7106189439593714E-002  -3.0905152620439179E-016
          25  0.98773879836636969       -7.5329530499257434E-016  -7.7106189439849426E-002  -4.7665391538637063E-015
          26  0.96891088762457023        8.5943543486497901E-019 -0.19739146597491311        5.5438240363621917E-018
          27  0.98239161541373687       -5.2405046445666044E-016 -0.11103285265250780       -3.3340221470382968E-015
          28  0.98239161541367070        3.9615840461796729E-016 -0.11103285265292877        2.5203696672631848E-015
          29  0.97610953299645720       -2.6188044723060296E-016 -0.15112795271976892       -1.6768126320483433E-015
          30  0.97610953299493664        1.9817580834064010E-013 -0.15112795272950502        1.2689137440638288E-012
