          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.72579055257491742       0.57670984109759194      -0.18945022068748249        1.6785919022716826     
           2  0.72579055389819869       0.57670984057879471      -0.18945021876388574        1.6785918989561941     
           3  0.90581465997694832       0.29918029749256020      -0.11787591995456827       0.79751959343815781     
           4  0.90581466691149759       0.29918029844218791      -0.11787590191758779       0.79751959010166951     
           5  0.99901352654234254       -1.6786940431561415E-015  -2.4674008570616311E-003  -4.2008791636841547E-015
           6  0.99605994227180772        2.4754008464267999E-016  -9.8696005116003117E-003   6.2129816223231503E-016
           7  0.99115669797683470       -5.1053243361676592E-016  -2.2206590213836638E-002  -1.2877187700463335E-015
           8  0.98433268736700463        1.5528008061513332E-015  -3.9478355385198921E-002   3.9437906159169775E-015
           9  0.97562796342898905       -1.5625339876724705E-015  -6.1684875624500701E-002  -4.0039186202205435E-015
          10  0.96509334679957359       -1.3801633776247701E-016  -8.8826124716600285E-002  -3.5752069533005404E-016
          11  0.95278993151429814        5.6651818609880210E-016 -0.12090207064318244        1.4864719057180251E-015
          12  0.90581465997694666      -0.29918029749256098      -0.11787591995457175      -0.79751959343816115     
          13  0.93878849485775984        6.1237388509401429E-016 -0.15791267559566888        1.6307557251934522E-015
          14  0.90581463863003653      -0.29918032073733741      -0.11787595397062017      -0.79751966882761638     
          15  0.72579056328152347      -0.57670984831311878      -0.18945018597579849       -1.6785918995439633     
