          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.78433317509728995      -0.48660187490530393      -0.20026975287218141       -1.3882151440590356     
           2  0.78433322196006683       0.48660187491963180      -0.20026964499444722        1.3882150771771440     
           3  0.92562082374218013      -0.22861459104164134      -0.11920973352882432      -0.60534785876739017     
           4  0.92562085470993816      -0.22861462732364909      -0.11920963188572525      -0.60534793165676259     
           5  0.92562086018207701       0.22861457014130623      -0.11920965390787179       0.60534778265269473     
           6  0.92562084683575574       0.22861460347046117      -0.11920966692740240       0.60534787588670269     
           7  0.99901352654233488       -2.4379850708619395E-017  -2.4674008570808011E-003  -6.1009811331083760E-017
           8  0.99605994227179850        3.9898658000683432E-016  -9.8696005116234390E-003   1.0014120713880726E-015
           9  0.99115669797682504        8.5101104360446188E-016  -2.2206590213861004E-002   2.1465098438560924E-015
          10  0.98433268736700008        4.9907158357225658E-016  -3.9478355385210481E-002   1.2675378710302394E-015
          11  0.97562796342898850       -6.5088840952324787E-016  -6.1684875624502124E-002  -1.6678704227470185E-015
          12  0.96509334679957282       -6.1519316268576409E-016  -8.8826124716602298E-002  -1.5936105163450195E-015
          13  0.95278993151428948       -1.3067310002752739E-015 -0.12090207064320516       -3.4286964971346258E-015
          14  0.93878849485776072        6.9601659702419158E-016 -0.15791267559566652        1.8534968228643654E-015
          15  0.92316881929180350       -6.2110363135600574E-015 -0.19985789598985765       -1.6819882192091285E-014
