          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.97239519309706035       0.12228616238925893      -0.12592099980993965       0.78188091924236669     
           2  0.97239519217683412       0.12228616285947981      -0.12592100525838185       0.78188092294986089     
           3  0.97239519326160251      -0.12228616198144382      -0.12592099909332610      -0.78188091653104486     
           4  0.97239519298613741      -0.12228616346452142      -0.12592099965618794      -0.78188092613420346     
           5  0.97472121928541589        9.1347001372033776E-002 -0.13269751615318578       0.58401940831997179     
           6  0.97472123348372952        9.1346992404412783E-002 -0.13269743124681355       0.58401934286169355     
           7  0.97472122655360471       -9.1346992434507168E-002 -0.13269747527859413      -0.58401934718114457     
           8  0.97472123476318551       -9.1346988416393715E-002 -0.13269742548985103      -0.58401931675063790     
           9  0.98587412912714223        5.7259593559105038E-002  -7.8392402382381765E-002  0.36259280899860807     
          10  0.98587412817697750        5.7259592871417749E-002  -7.8392408638105218E-002  0.36259280500231150     
          11  0.98587412889629311       -5.7259593534324194E-002  -7.8392403850034639E-002 -0.36259280892674994     
          12  0.98587412954069020       -5.7259593170545332E-002  -7.8392399912074084E-002 -0.36259280639183822     
          13  0.98612290322291107        3.7657609600262924E-002  -8.2785442552474789E-002  0.23855622014360392     
          14  0.98612289997942992        3.7657613804858263E-002  -8.2785462063409976E-002  0.23855624753720367     
          15  0.99970656314426276        5.4697791072546480E-011  -1.8342494797211923E-003   3.4196153832200381E-010
          16  0.99944786651112705        1.2390956997074837E-008  -3.4517873168567067E-003   7.7486263992995912E-008
          17  0.99853832129185915       -7.8204778598423314E-011  -9.1421750160461095E-003  -4.8949535117268877E-010
          18  0.99822769118905397       -1.8584614121567466E-008  -1.1086757552064362E-002  -1.1636006422686818E-007
          19  0.99584422475448509        6.0586360957577998E-009  -2.6027715489609665E-002   3.8024496861265453E-008
          20  0.99576766149774465        4.0261807036292854E-011  -2.6508251238734890E-002   2.5270583059339521E-010
          21  0.98612290131406255       -3.7657610757768176E-002  -8.2785454353304533E-002 -0.23855622793046175     
          22  0.98612290398842528       -3.7657607985880706E-002  -8.2785438097908462E-002 -0.23855620974161737     
          23  0.99263768335248348       -1.6684527261484933E-011  -4.6184701632535581E-002  -1.0505171940692064E-010
          24  0.99233386297014681       -2.5824226988125056E-009  -4.8097955661743914E-002  -1.6264830285312671E-008
          25  0.97735391426441587        4.0643325550854065E-002 -0.13776584121136110       0.25975698791915786     
          26  0.97735433438675179        4.0643096866840048E-002 -0.13776321995268925       0.25975541652203654     
          27  0.98793636538201557       -2.1550536358617032E-011  -7.5856192603770370E-002  -1.3633555455697203E-010
          28  0.98804355538976063        1.1106554014068150E-009  -7.5178111271038905E-002   7.0255974252615742E-009
          29  0.98288813266077135       -1.6285972451026023E-010 -0.10787479552294992       -1.0355942292574507E-009
          30  0.98258812338218737        8.1933387740349310E-009 -0.10978278906898957        5.2115801238725451E-008
