          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.97119008567983600      -0.11947693546850602      -0.10861326684703121      -0.61203065336271822     
           2  0.97119008354044145      -0.11947693681468941      -0.10861327685721962      -0.61203066152476981     
           3  0.97119008241085680       0.11947693676926030      -0.10861328261432898       0.61203066199913247     
           4  0.97119008561711584       0.11947693521325398      -0.10861326732437496       0.61203065210732177     
           5  0.97402228776672617       -8.5554865064936703E-002 -0.11239129347484290      -0.43805902876833785     
           6  0.97402229025430864       -8.5554871326870494E-002 -0.11239127800110459      -0.43805905955389135     
           7  0.97402229201927626        8.5554864144616771E-002 -0.11239127222392928       0.43805902217740172     
           8  0.97402230087654862        8.5554876720817657E-002 -0.11239122147738362       0.43805908227806939     
           9  0.99952388803796466       -1.9876835789310221E-011  -2.3811266966191091E-003  -9.9431519482380020E-011
          10  0.99946741103390668        1.1811450904467673E-009  -2.6636542098665379E-003   5.9088724525040933E-009
          11  0.99791785009229472        1.1054345390627607E-011  -1.0421602977396595E-002   5.5387051096466610E-011
          12  0.99767590601859479       -1.3877136830030027E-009  -1.1633994397967487E-002  -6.9547318654858763E-009
          13  0.99467612106388925        2.6521540769320561E-010  -2.6690506403634462E-002   1.3331746991650688E-009
          14  0.99460358868028231        2.4407636314234785E-011  -2.7055122718191903E-002   1.2270032298305268E-010
          15  0.99031820382110758        4.6689106312878864E-010  -4.8644847480412742E-002   2.3572780007845259E-009
          16  0.99055509728637015       -1.2118285472863686E-011  -4.7448943298860791E-002  -6.1169164168968380E-011
          17  0.98491807838206669       -1.9551051644261511E-010  -7.5984052120281934E-002  -9.9252171695224581E-010
          18  0.98483554612444024        1.0795311603192579E-009  -7.6403049992137206E-002   5.4807686652226721E-009
          19  0.97817574980577260       -4.7947278509800082E-009 -0.11032960907066762       -2.4508519312260880E-008
          20  0.97840939657377546        1.6649921840769832E-008 -0.10913545317335890        8.5086682012024040E-008
