          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.96305182101542697      -0.15183816898604408      -0.12685561686294813      -0.78188152812566347     
           2  0.96305181880667634      -0.15183816786318532      -0.12685562894909719      -0.78188152420151846     
           3  0.96305181881662749       0.15183816959949192      -0.12685562751188356       0.78188153298952856     
           4  0.96305181950461516       0.15183816572875475      -0.12685562711819454       0.78188151283125407     
           5  0.96773440752496365      -0.11247148204139079      -0.13044548348730614      -0.57851175980396619     
           6  0.96773441923367975      -0.11247147599268781      -0.13044542738178139      -0.57851172203142676     
           7  0.96773442162652346       0.11247147375209754      -0.13044541651093142       0.57851170919152806     
           8  0.96773440431610414       0.11247147012461212      -0.13044550690602785       0.57851170095522120     
           9  0.99944580346183309        1.1512969119649999E-012  -2.7717508091472743E-003   5.7596765526314291E-012
          10  0.99942169692796656       -9.0537941875178811E-010  -2.8923517687556425E-003  -4.5295165270813783E-009
          11  0.99759798096553298        6.4305086701601606E-010  -1.2024542550828923E-002   3.2229960328991159E-009
          12  0.99771444073613857       -1.3710088822290629E-011  -1.1440875705120026E-002  -6.8707479126868128E-011
          13  0.99455908655672542       -2.2788741223098171E-010  -2.7278845614857508E-002  -1.1456705554817933E-009
          14  0.99452588838993206        4.1509502163684475E-011  -2.7445747316969769E-002   2.0868990263735345E-010
          15  0.99024083835783316        1.7719860735607618E-010  -4.9035471852956827E-002   8.9472480073601918E-010
          16  0.99035553247672869       -2.9486427190462484E-011  -4.8456383045602250E-002  -1.4886788745816066E-010
          17  0.98479610581355115       -1.5726906439209919E-010  -7.6603292056969779E-002  -7.9848540963805619E-010
          18  0.98475861044361024        1.0862320767483977E-010  -7.6793666914981809E-002   5.5152200002550683E-010
          19  0.97809931739658573       -1.1031904802232782E-009 -0.11072031286538020       -5.6394604341389818E-009
          20  0.97821244980110489        2.4579555224289382E-010 -0.11014201851300648        1.2563505621548275E-009
