     I             re(RITZ)             im(RITZ)             ln|RITZ|            arg(RITZ)
     1     0.967666161E+000    -0.245423047E+000    -0.135819512E-001    -0.198709009E+001
     2     0.965332578E+000     0.241517896E+000    -0.394019062E-001     0.196127027E+001
     3     0.989204716E+000     0.120860346E+000    -0.275619685E-001     0.972613907E+000
     4     0.999459211E+000     0.330938862E-001     0.556819715E-004     0.264797596E+000
     5     0.730998411E+000    -0.677189036E+000    -0.283253874E-001    -0.597763957E+001
     6     0.741635944E-001     0.990319399E+000    -0.554515893E-001     0.119683784E+002
     7     0.991185801E+000    -0.123398864E+000    -0.930452661E-002    -0.990871303E+000
     8     0.926975603E+000    -0.358549071E+000    -0.489332709E-001    -0.295256603E+001
     9     0.999459211E+000    -0.330938862E-001     0.556821403E-004    -0.264797596E+000
    10     0.999947297E+000    -0.291673876E-008    -0.421637806E-003    -0.233351399E-007
    11     0.999944725E+000     0.301833899E-008    -0.442209902E-003     0.241480467E-007
    12     0.999795667E+000     0.455421501E-008    -0.163482974E-002     0.364411662E-007
    13     0.999793096E+000    -0.491928108E-008    -0.165540429E-002    -0.393623929E-007
    14    -0.292647073E+000     0.946771058E+000    -0.725836006E-001     0.149646466E+002
